GHNHolderAddress	Quantity	PendingBalanceUpdate	AHCHolderAddress	Quantity	PendingBalanceUpdate	BAYCHolderAddress	Quantity	PendingBalanceUpdate	MAYCHolderAddress	Quantity	PendingBalanceUpdate	MGHNHolderAddress	Quantity	PendingBalanceUpdate	AKCBHolderAddress	Quantity	PendingBalanceUpdate	ThePlagueHolderAddress	Quantity	PendingBalanceUpdate	SSHolderAddress	Quantity	PendingBalanceUpdate
0x0188a061aa8581437b0e16f4aa9a9f3f170676dc	17	No	0x86480706502e2ed1481ca7bb9c0582037f867f36	26	No	0x424929525a9f36897cdd3235023c13a2ea7d7218	15	No	0xc883a79e8e4594c4f89434edb754a10da2311139	21	No	0x1481d0a874ca39e62626485b38dffe45acb4e243	17	No	0x9c79617e66a2914f4d467d30e1268709f091d84a	21	No	0x56ad36654c27e8652880116fe91b8b43894e186d	31	No	0x000a3e111b04a7b3ebcd59b8554b224336057a28	7	No
0x135b544d0e7211c0333862e6e3cbf4d4880f0f6d	17	No	0x6a0f8ac88079db3c7ecc21dbdf0753ef132f1e3e	26	No	0x951da59c1f29d11990c1307301a44608688d99ec	15	No	0x5ceff23a72431c69fb7f0e035d98b02fd27441b5	21	No	0x3a55478adafce637a9eb4fdf5027f283ed4233fe	17	No	0x9b7f17d8bff6328dfbd76da3cdf6e8effd8845c0	21	No	0x9ea961921d095aa786a2d62ee94631671e911b27	30	No	0xd34112c9311b8438239fa1ff1708a0b71c99f4cc	7	No
0x5ccc5b9a329acc965dc303040bca37429366e743	16	No	0x67b44e295300147e86bb98406025acf78678c5e5	26	No	0x6d5a7597896a703fe8c85775b23395a48f971305	15	No	0x92232542bbb5326f96c96e938049c6ff4a89b461	21	No	0x2a54a42594f35f1733f8bd7fe55e3cf35f8377fc	16	No	0xe0e0443442626e295ca283c41dea8bc1b41a6169	20	No	0x9b14a0c28f15944e5d2948073036c75c4afe0f4c	30	No	0x23d741527e183d2eb5af6a14f336fe08cf970d34	7	No
0xb77bbae158501da415f9d902bd7c742e4c568d2f	15	No	0xed58eb3c93679f1dc29158ac39e2eb38facd0fbb	25	No	0x4b1e684d5143eb7435e5d78385fa8cbdccd8f7ec	14	No	0xa61895d69dbd67966799c7689e15f8e689ba40db	21	No	0x3faefeedcc57fdcd3bfc53df647d8cbb576b6e5b	16	No	0x7962e404d1f41d2bee88c3a18625283585c532c6	20	No	0xf92403581870ab5b06ff666d9cf48cb02d4a7d87	30	No	0xb9a39ffe656011276b93fdd87f827ea1a74bddb8	7	No
0x46b21dc9f11977d8cd56b08a2cfcb2f69f558a09	15	No	0xedc789e74fccc7374c734a4e8716b9ed701a99dd	25	No	0xb50edc59d7554d21a5a16b5a128bfcaf1279f2f0	14	No	0x122b19a4be93d7c2b4522ebf7eb3f1b5b0343b2f	20	No	0xe94e1f4a5e2b06a02421978923df94d3ea67c632	16	No	0x44deaa416019661ef68b00783a41bc1db22236cf	20	No	0x17b1190ee4908aca2b0292452fd6263b96fabf7e	28	No	0xc02f318365582557a482eb5d1834dfd7af4a3f59	7	No
0x6d735a17474b062c07b8b98b3814d2ce657e7317	15	No	0x63360dd1518badcabff3cf2bd42b2630ddc9b9d6	25	No	0x65d614757e87447355d9600852ba7d7851c8dc9d	14	No	0xb2f4a2a0e400547b2b9f6c3c058befb3f5e1279c	20	No	0x355685e85956376ab3dfebaf7129c7399012632f	16	No	0x951134aa8a390946f843c1510a4db4edfb528b74	20	No	0x91858db19f1b23fe86d70291d1cd57b5b66dfdd7	28	No	0x65353732f87729bb97cf100738b3f2b8803afe47	7	No
0xa183ae4699c19f5068c7f22a50b0d2cc6968f55f	15	No	0xd273a557cb31be81a06962d120eb10bca9a805cc	25	No	0x862a49a8cb70036fccf7c8af0d2cc50fe5e3907c	14	No	0x9735f365fb956c062e6ddb7f6fa75bdadc94a218	20	No	0xd694bf067b9f42c96b7277dc78db871db31c4aab	16	No	0x7380789ad76468fe9fe0cca1068d695acaea841a	19	No	0x88ac00051ec398f177f5ac7b8b1389738deb4ddf	28	No	0x17ef2b6ff281dbb79847c9cbb2ce62572abb24c8	7	No
0xdbe5be6a688cfcd499fc3c176803e850f6baad8f	15	No	0x8124bab83d57652fac7b6572fb117ad169d0e9d8	24	No	0xd611a3350321558bda7d15da88e4b74eaf4c8986	14	No	0x67628438deee416721da7e84590fa9e40e4e29c4	19	No	0x6a0f8ac88079db3c7ecc21dbdf0753ef132f1e3e	16	No	0x61bb1c37e7a898cbfdf76166bc64a9355c8f1909	19	No	0xd3da496c281008cb9eac5ad09012e1a80569c1c0	27	No	0xfded90a3b1348425577688866f798f94d77a0d02	7	No
0x1367066fae11612029df0abd66b2c6e5f30a21ef	15	No	0x09ba8d06ea2cbb975e8bd756558ec52c72eb0ee1	24	No	0x6b4df334368b09f87b3722449703060eef284126	13	No	0x1b523dc90a79cf5ee5d095825e586e33780f7188	19	No	0xc37be17ca0405efce114e60105964c86e16f6567	15	No	0x7fed396e60cb8672b523e0d5c179136998a810b2	18	No	0x7efa193074a918e8cfc38667efd58177a4fa688f	26	No	0x7a67c5f554e032ed97cc6e0b3438497e36ea30e6	7	No
0x7d54e53d60d608181e87baa6cf1cc365e06a05de	14	No	0x33278d15fe73191c2960bba793a8149ec9668f74	24	No	0xc883a79e8e4594c4f89434edb754a10da2311139	13	No	0xbb26a6da4d918682f58cc91bd3fb251dd28549d2	18	No	0xb2c142f6c75705ebd96e172a1eb703875ea80832	15	No	0x53f5d9f358b9a1e7b298ee0e3039725fefa9d1bd	18	No	0x3c31d629c92783021727db299b70794ed7f93e8f	25	No	0x4c9ab1064da9c0d384530131498e3c34617a1508	7	No
